Title,Patent Number,Abstract,Classification,Inventors,Current Assignee,link
Survivable solar power-generating systems for use with spacecraft,US5089055A,"A survivable solar power-generating system for use with spacecraft is disclosed comprising optical means positioned to collect and concentrate solar energy flux, a flexible solar energy flux transmission line for conducting the concentrated solar flux towards a solar energy converter, and solar energy conversion means including an array photovoltaic cells for converting the solar energy flux to electrical power to be applied to on-board equipment of the spacecraft. A protected enclosure is positioned about the photovoltaic cells to shield them from destructive radiation and particulate matter. The transmission line includes a plurality of optical fiber waveguides whose input ends are positioned to receive the concentrated solar energy flux. Means are provided for moving the input ends of the optical fiber waveguides to optimize the quantity of concentrated solar flux entering the waveguides.","Classifications
 
 B64G1/443 Photovoltaic cell arrays
 View 15 more classifications",[' Takashi Nakamura '],Nakamura Takashi,https://patents.google.com/patent/US6593520B2/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Protected conversion solar power system,US9673630B2,"Different systems to achieve solar power conversion are provided in at least three different general aspects, with circuitry that can be used to harvest maximum power from a solar source or strings of panels for DC or AC use, perhaps for transfer to a power grid three aspects can exist perhaps independently and relate to: 1) electrical power conversion in a multimodal manner, 2) alternating between differing processes such as by an alternative mode photovoltaic power converter functionality control, and 3) systems that can achieve efficiencies in conversion that are extraordinarily high compared to traditional through substantially power isomorphic photovoltaic DC-DC power conversion capability that can achieve 99.2% efficiency or even only wire transmission losses. Switchmode impedance conversion circuits may have pairs of photovoltaic power series switch elements and pairs of photovoltaic power shunt switch elements.","Classifications
 
 H02J3/385 Maximum power point tracking control for photovoltaic sources
 View 15 more classifications","[' Anatoli LedenevRobert M', ' Porter ']",AMPT LLC,https://patents.google.com/patent/US5089055A/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Pool solar power generator,US9847749B2,"Solar panels located on residential roofs can be unsightly in some cases. A swimming pool solar power generator can locate solar panels in or around the sides and/or bottoms of a swimming pool in a manner so as to create electricity from the sun without creating an eyesore. In an embodiment, a pool solar power generator includes a solar cell module disposed in a portion of a swimming pool. The solar cell module can include solar cells and be submerged under water held by the swimming pool. The solar cell module can convert sunlight incident on the solar cells to electricity and transmit the electricity for use at a location external to the swimming pool.","Classifications
 
 H02S20/32 Supporting structures being movable or adjustable, e.g. for angle adjustment specially adapted for solar tracking
 View 19 more classifications","[' Massi Joe E', ' KianiSteven J', ' WojtczukBrad M', ' Siskavich ']",Masimo Semiconductor Inc,https://patents.google.com/patent/US9673630B2/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
PV-thermal solar power assembly,US6295818B1,"A flexible solar power assembly includes a flexible photovoltaic device attached to a flexible thermal solar collector. The solar power assembly can be rolled up for transport and then unrolled for installation on a surface, such as the roof or side wall of a building or other structure, by use of adhesive and/or other types of fasteners.","Classifications
 
 H02S40/44 Means to utilise heat energy, e.g. hybrid systems producing warm water and electricity at the same time
 View 6 more classifications","[' Jeffrey H', ' AnsleyJonathan D', ' BotkinThomas L', ' Dinwoodie ']",PLUTO ACQUISTION Co LLC SunPower Corp,https://patents.google.com/patent/US9847749B2/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Solar power generation apparatus and its manufacturing method,US7612283B2,"A solar cell assembly including a plurality of solar cells is formed on a common substrate, and a DC/DC converter which converts the output from the solar cell is connected to each solar cell to constitute a solar power generation apparatus. The output from the solar power generation apparatus is converted into an AC power by an inverter and supplied to a load or commercial AC power system. Since the arrangement is simplified, the manufacturing cost can be reduced, and the influence of partial shade or a variation in characteristic decreases.","Classifications
 
 H01L31/02021 Circuit arrangements of general character for the devices for devices characterised by at least one potential jump barrier or surface barrier for solar cells
 View 3 more classifications",[' Fumitaka ToyomuraNobuyoshi Takehara '],Canon Inc,https://patents.google.com/patent/US6295818B1/en?q=solar&q=power&country=US&language=ENGLISH
,,,,,,
Solar power generation apparatus and power control device therefor,US5869956A,"In order to extract maximum power from a solar cell, maximum power point tracking (MPPT) control is performed under ordinary circumstances. If the output current of the solar cell becomes too small, the operating point of the solar cell is caused to fluctuate over a range wider than that of MPPT control at a period longer than that of MPPT control and the output voltage and current of the solar cell is sampled. In a case where it is indicated by power values obtained from the sample voltage values and current values that a plurality of maximal points of power value exist, a voltage value corresponding to a power value indicative of the largest value is set as the operating point of the solar cell.","Classifications
 
 G05F1/67 Regulating electric power to the maximum power available from a generator, e.g. from solar cell
 View 1 more classifications",[' Yoshitaka NagaoKimitoshi FukaeNobuyoshi TakeharaSeiji Kurokami '],Canon Inc,https://patents.google.com/patent/US7612283B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Power control apparatus for solar power generation system,US5923158A,"In a power control apparatus of a solar power generation system for converting power generated by a solar panel and supplying the converted power to a load, the output voltage and output current of the solar panel are sensed, and, under ordinary conditions, MPPT control is performed so that the solar cells will operate at a maximum output point. If the output power of the solar panel exceeds a predetermined power, a power conversion unit is controlled so as to raise the output voltage of the solar panel, thereby limiting the output power of the solar panel. As a result, excessive power is prevented from being output by the power control apparatus.","Classifications
 
 G05F1/67 Regulating electric power to the maximum power available from a generator, e.g. from solar cell
 View 1 more classifications",[' Seiji KurokamiKimitoshi FukaeNobuyoshi Takehara '],Canon Inc,https://patents.google.com/patent/US5869956A/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Terrestrial solar power system using III-V semiconductor solar cells,US8513518B2,A system for generating electrical power from solar radiation utilizing a thin film III-V compound multijunction semiconductor solar cell mounted on a support in a non-planar configuration.,"Classifications
 
 H01L31/0735 Semiconductor devices sensitive to infra-red radiation, light, electromagnetic radiation of shorter wavelength or corpuscular radiation and adapted either for the conversion of the energy of such radiation into electrical energy or for the control of electrical energy by such radiation; Processes or apparatus peculiar to the manufacture or treatment thereof or of parts thereof; Details thereof adapted as photovoltaic [PV] conversion devices characterised by at least one potential-jump barrier or surface barrier the potential barriers being only of the PN heterojunction type comprising only AIIIBV compound semiconductors, e.g. GaAs/AlGaAs or InP/GaInAs solar cells
 View 8 more classifications","[' Daniel McGlynnPaul R', ' SharpsArthur CornfeldMark Stan ']",Solaero Technologies Corp,https://patents.google.com/patent/US5923158A/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Maximum power tracking solar power system,US6369462B1,"A maximum power tracker maximizes the power deliverable from a power source, such as a solar array using increasing, decreasing and maintaining states controlled by a set point signal modulated by a dither signal for stabilized regular power tracking during under demand conditions and maximum power tracking during periods with over demand conditions of a load. Multiple converters and respectively maximum power trackers can be coupled in parallel using shared bus control signal for fault tolerant equalized power conversion through the converters.","Classifications
 
 G05F1/67 Regulating electric power to the maximum power available from a generator, e.g. from solar cell
 View 8 more classifications",[' Kasemsan Siri '],Aerospace Corp,https://patents.google.com/patent/US8513518B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Solar power plant and method and/or system of storing energy in a concentrated solar power plant,US7954321B2,"A method for storing heat from a solar collector CSTC in Concentrating Solar Power plants and delivering the heat to the power plant PP when needed. The method uses a compressed gas such as carbon dioxide or air as a heat transfer medium in the collectors CSTC and transferring the heat by depositing it on a bed of heat-resistant solids and later, recovering the heat by a second circuit of the same compressed gas. The storage system HSS is designed to allow the heat to be recovered at a high efficiency with practically no reduction in temperature. Unlike liquid heat transfer media, our storage method itself can operate at very high temperatures, up to 3000° F., a capability which can lead to greater efficiency. Due to material constraints and cost considerations in the rest of the system the maximum temperature is presently limited to between 1700° F. and 2000° F. The method can be applied to all current solar collector designs. This is not intended to define the invention disclosed in the specification, nor intended to limit the scope of the invention in any way.","Classifications
 
 F28D17/005 Regenerative heat-exchange apparatus in which a stationary intermediate heat-transfer medium or body is contacted successively by each heat-exchange medium, e.g. using granular particles using granular particles
 View 12 more classifications",[' Reuel Shinnar '],University of New York City Research Foundation,https://patents.google.com/patent/US6369462B1/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Solar power enhanced combustion turbine power plants and methods,US6941759B2,"Combustion turbine power plants and methods of operating the same are provided in which air is cooled using solar energy and supplied to an air inlet of the power plant to support combustion. Also, combustion turbine power plants and methods of operating the same are provided in which steam is produced using solar energy and injected into a turbine of the power plant.","Classifications
 
 F02C7/143 Cooling of plants of fluids in the plant, e.g. lubricant or fuel of working fluid before or between the compressor stages
 View 9 more classifications","[' Alphonse H', ' BellacRonald Destefanis ']",Jasper Energy Dev LLC,https://patents.google.com/patent/US7954321B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Solar power system and method for power generation,US7296410B2,"A solar-powered power generation system and an associated method are provided. The system includes at least one trough solar absorption device for heating a heat transfer fluid to a first temperature, and at least one tower solar absorption device for further heating the transfer fluid to a second temperature. Thus, the generation system can efficiently heat the transfer fluid to high temperatures. Subsequently, the heated fluid can be used, e.g., to generate steam and/or electricity.","Classifications
 
 F03G6/065 Devices for producing mechanical power from solar energy with means for concentrating solar rays having a Rankine cycle
 View 6 more classifications","[' Robert Z', ' Litwin ']",SOLARRESERVE TECHNOLOGY LLC United Technologies Corp,https://patents.google.com/patent/US6941759B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Supercritical CO2 turbine for use in solar power plants,US7685820B2,A solar-powered supercritical carbon dioxide turbine system includes a supercritical carbon dioxide turbine system and a solar heating system. The solar heating system has a molten salt heat transfer fluid for providing thermal energy to the supercritical carbon dioxide turbine system.,"Classifications
 
 F02C1/05 Gas-turbine plants characterised by the use of hot gases or unheated pressurised gases, as the working fluid the working fluid being heated indirectly characterised by the type or source of heat, e.g. using nuclear or solar energy
 View 4 more classifications","[' Robert Z', ' LitwinAndrew J', ' ZillmerNathan J', ' HoffmanAlan V', ' von ArxDavid Wait ']",SOLARRESERVE TECHNOLOGY LLC,https://patents.google.com/patent/US7296410B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Solar power conditioning unit,US9812985B2,"The present invention relates to a power conditioning unit for delivering power from a dc power source to an ac output, particularly ac voltages greater than 50 volts, either for connecting directly to a grid utility supply, or for powering mains devices independent from the mains utility supply. We describe a power conditioning unit for delivering power from a dc power source to an ac mains output, the power conditioning unit comprising an input for receiving power from said dc power source, an output for delivering ac power, an energy storage capacitor, a dc-to-dc converter having an input connection coupled to said input and an output connection coupled to the energy storage capacitor, and a dc-to-ac converter having an input connection coupled to said energy storage capacitor and an output connection coupled to said output, wherein said energy storage capacitor has a capacitance of less than twenty microfarads.","Classifications
 
 H02M7/4807 Conversion of dc power input into ac power output without possibility of reversal by static converters using discharge tubes with control electrode or semiconductor devices with control electrode having a high frequency intermediate AC stage
 View 5 more classifications",[' Cuauhtemoc Rodriguez '],SolarCity Corp,https://patents.google.com/patent/US7685820B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
Ground fault protecting apparatus and method for solar power generation and solar power generation apparatus using the apparatus and method,US6101073A,"In a ground fault protecting apparatus of this invention, which protects a solar power generation apparatus from a ground fault, when a ground fault generated in a solar cell array is continuously detected for a period longer than a time T1, a gate block signal for stopping the operation of an inverter connected between the solar cell array and a load is output first. When the ground fault is continuously detected for a period longer than a time T2 (>T1), a disconnection instruction signal for disconnecting the inverter from the load is output to the disconnection unit. According to the ground fault protecting apparatus of this invention, a high ground fault detection sensitivity can be set. In addition, the solar power generation apparatus can be prevented from being unnecessarily stopped due to erroneous ground fault detection.","Classifications
 
 H02H3/16 Emergency protective circuit arrangements for automatic disconnection directly responsive to an undesired change from normal electric working condition with or without subsequent reconnection ; integrated protection responsive to fault current to earth, frame or mass",[' Nobuyoshi Takehara '],Canon Inc,https://patents.google.com/patent/US9812985B2/en?q=solar&q=power&country=US&language=ENGLISH&page=1
,,,,,,
"Power converting apparatus, control method therefor, and solar power generation apparatus",US7079406B2,"The object is to reliably detect a ground fault of a solar battery. To detect a ground fault position to take an efficient measure against the ground fault, DC power input from a solar battery is converted into AC power and supplied to a system. In a system interconnection inverter (utility connected inverter) having non-insulated input and output, the input voltage of a converter circuit and/or the intermediate voltage between the converter circuit and an inverter circuit are varied to control the potential to ground at each portion of the solar battery to a value other than a value close to zero.","Classifications
 
 H02M1/32 Means for protecting converters other than automatic disconnection
 View 10 more classifications",[' Seiji KurokamiNaoki ManabeNobuyoshi Takehara '],Canon Inc,https://patents.google.com/patent/US6101073A/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Fault tolerant maximum power tracking solar power system,US6433522B1,"A maximum power tracker maximizes the power deliverable from a power source, such as a solar array using increasing, decreasing and maintaining states controlled by a set point signal modulated by a dither signal for stabilized regular power tracking during under demand conditions and maximum power tracking during periods with over demand conditions of a load. For multiple power sources, respective multiple sets of parallel-connected converters and respectively maximum power trackers can be coupled in parallel using shared bus and control signals for fault tolerant equalized power conversion among the parallel-connected converters. Among multiple solar array sources that can have quite different characteristics, some maximum power trackers may actively regulate maximum power flows from respective array sources that have deficient power while the remaining maximum power trackers are inactive because respective remaining solar array sources provide sufficient power to allow respective DC-DC converters to regulate the load voltage to a regulated level.","Classifications
 
 G05F1/67 Regulating electric power to the maximum power available from a generator, e.g. from solar cell
 View 8 more classifications",[' Kasemsan Siri '],Aerospace Corp,https://patents.google.com/patent/US7079406B2/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Maximum power tracking solar power system,US6281485B1,"A maximum power tracker maximizes the power deliverable from a power source, such as a solar array using increasing, decreasing and maintaining states controlled by a set point signal modulated by a dither signal for stabilized regular power tracking during under demand conditions and maximum power tracking during periods with over demand conditions of a load. Multiple converters and respectively maximum power trackers can be coupled in parallel using shared bus control signal for fault tolerant equalized power conversion through the converters.","Classifications
 
 G05F1/67 Regulating electric power to the maximum power available from a generator, e.g. from solar cell
 View 4 more classifications",[' Kasemsan Siri '],Aerospace Corp,https://patents.google.com/patent/US6433522B1/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Portable solar power system,US5969501A,"A trailer mounted, self contained solar power system having a plurality of solar panel sections that are arranged to fold about the sides and top of the trailer. The panel sections unfold and lock together through slide rams that are contained within a rack structure supporting the panel sections to form a planar array that is easily deployable at a desired angle to the horizontal. The planar array pivots about a hinge along one side of the trailer top, and the panel sections are asymmetrically arranged so that positioning of the planar array can be easily accomplished.","Classifications
 
 H02S30/20 Collapsible or foldable PV modules
 View 7 more classifications","[' Steven C', ' GliddenGuerin G']",Alker,https://patents.google.com/patent/US6281485B1/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Array of photovoltaic modules for an integrated solar power collector system,US6201179B1,"An integrated solar power collector system for direct installation on an upholding structure includes a plurality of first array of photovoltaic modules. Each array comprises a substrate, defining a module support area, an anchoring zone, a first interlocking zone and a second interlocking zone on an opposite side of the first substrate from the first interlocking zone. A array also comprises collecting surface with a plurality of photovoltaic modules arranged proximal to each other on the module support area so as to leave a minimal residual space between the modules. The substrates are made of a corrugated material so as to present an increased support for the modules and to provide channels for channels for removing the heat dissipated by the modules. Each array is fixed to an upholding structure along the anchoring zone and the first interlocking zone and is fixed to a neighboring module along the second interlocking zone.","Classifications
 
 H02S40/34 Electrical components comprising specially adapted electrical connection means to be structurally associated with the PV module, e.g. junction boxes
 View 13 more classifications",[],Nick Dalacu,https://patents.google.com/patent/US5969501A/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Solar power capacitor alternative switch circuitry system for enhanced capacitor life,US7919953B2,"Reliability enhanced systems are shown where an short-lived electrolytic capacitor can be replaced by a much smaller, perhaps film type, longer-lived capacitor to be implemented in circuits for power factor correction, solar power conversion, or otherwise to achieve DC voltage smoothing with circuitry that has solar photovoltaic source (1) a DC photovoltaic input (2) internal to a device (3) and uses an enhanced DC-DC power converter (4) to provide a smoothed DC output (6) with capacitor substitution circuitry (14) that may include interim signal circuitry (28) that creates a large voltage variation for a replaced capacitor (16). Switchmode designs may include first and second switch elements (17) and (18) and an alternative path controller (21) that operates a boost controller (22) and a buck controller (23) perhaps with a switch duty cycle controller (32).","Classifications
 
 G05F5/00 Systems for regulating electric variables by detecting deviations in the electric input to the system and thereby controlling a device within the system to obtain a regulated output
 View 1 more classifications","[' Robert M', ' PorterAnatoli Ledenev ']",AMPT LLC,https://patents.google.com/patent/US6201179B1/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Solar power system,US4204881A,"A system for generating electrical power from sunlight, comprising a focussing diffraction grating or other focussing, spectrally dispersive means and a photocell array. The diffraction grating focuses sunlight into a spectrally dispersed band. The photocell array is composed of cells with different spectral sensitivities, located in positions in the dispersed band corresponding to the cell spectral sensitivities so that the net conversion efficiency of sunlight to electricity exceeds the conversion efficiency attainable with nondispersive collectors and single material photocells. Alternate embodiments of the invention provide sun tracking means, reflective or transmissive diffraction gratings, flat or curved diffraction grating surfaces, on- or off-axis focus, and optical coatings on the photocell surfaces.","Classifications
 
 G02B5/32 Holograms used as optical elements
 View 6 more classifications",[' Stephen P'],McGrew,https://patents.google.com/patent/US7919953B2/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
"Photovoltaic module, solar-power generating apparatus, a support member for supporting photovoltaic modules, and method of installing a solar-power generating apparatus",US6784360B2,"Herein described is a photovoltaic module (30) that comprises a rectangular module body (61) and a frame (60) secured to the sides of the body. The frame is composed of an upper bar (63), a lower bar (64) and a pair of side bars (65 and 66). The upper bar (63) has an insertion projection (71) projecting from a part which is middle in thickness direction of the upper bar. The projection (71) is thinner than the upper bar (63).","Classifications
 
 H02S20/23 Supporting structures directly fixed to an immovable object specially adapted for buildings specially adapted for roof structures
 View 14 more classifications",[' Takeharu NakajimaKazunari IwamotoHaruhiko ItoIchiro Nakajima '],Kaneka Corp,https://patents.google.com/patent/US4204881A/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Solar power array with maximized panel power extraction,US8053929B2,"A solar power array includes solar power panels, where each solar panel provides output current and voltage, separate DC-DC converters, where each solar panel is connected to a unique DC-DC converter, where each DC-DC converter is designed to maximize the power from each solar panel, and where each DC-DC converter produces a high voltage output, a high voltage DC bus coupled to the DC-DC converters that receives the high voltage output, and a DC-AC inverter that inverts the high voltage DC on the high voltage DC bus to an AC power signal for distribution to one or more AC loads.","Classifications
 
 H02J3/383 Solar energy, e.g. photovoltaic energy
 View 6 more classifications",[' Bertrand Jeffery WilliamsBret Allan Raymis '],Draker Inc,https://patents.google.com/patent/US6784360B2/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Solar power system and high efficiency photovoltaic cells used therein,US4200472A,"A solar power system including a movable platform for tracking the sun, a radiation concentrator, and a plurality of photovoltaic cell modules positioned on the platform for receiving concentrated solar radiation. The module includes a heat dissipation housing which supports a silicon cell across an open end of the housing. A heat transfer block physically engages the silicon cell and a metallic sponge and wick is attached to the heat transfer block and depends therefrom into the housing. The housing is partially filled with liquid to facilitate heat removal. The silicon cells are processed by preferential etching to form V grooves which define a plurality of diode elements having generally trapezoidal cross-sections. The elements may be serially interconnected by metallization on the V groove surfaces. The physical configurations of the elements and the use of antireflective coatings on surfaces of the elements result in high efficiency cells.","Classifications
 
 H01L31/052 Cooling means directly associated or integrated with the PV cell, e.g. integrated Peltier elements for active cooling or heat sinks directly associated with the PV cells
 View 4 more classifications","[' Terry I', ' ChappellRichard M', ' White ']",University of California,https://patents.google.com/patent/US8053929B2/en?q=solar&q=power&country=US&language=ENGLISH&page=2
,,,,,,
Power converter for a solar panel,US8669675B2,"A solar array power generation system includes a solar array electrically connected to a control system. The solar array has a plurality of solar modules, each module having at least one DC/DC converter for converting the raw panel output to an optimized high voltage, low current output. In a further embodiment, each DC/DC converter requires a signal to enable power output of the solar modules.","Classifications
 
 H02J1/00 Circuit arrangements for dc mains or dc distribution networks
 View 12 more classifications","[' F', ' William CappWilliam J', ' Driscoll ']",SolarEdge Technologies Ltd,https://patents.google.com/patent/US4200472A/en?q=solar&q=power&country=US&language=ENGLISH&page=3
,,,,,,
Solar power tower system operation and control,US8327840B2,A solar energy collection system includes a primary solar receiver and a secondary solar receiver. The secondary solar receiver generates steam using energy from solar radiation incident thereon. The primary solar receiver receives the generated steam from the secondary solar receiver and superheats the steam using energy from solar radiation incident thereon. A plurality of heliostat-mounted mirrors reflects incident solar radiation onto one of the primary and secondary solar receivers. A controller aims a portion of the heliostat-mounted mirrors at the primary solar receiver such that a predetermined thermal profile is provided on a surface of the primary solar receiver.,"Classifications
 
 F03G6/06 Devices for producing mechanical power from solar energy with means for concentrating solar rays
 View 5 more classifications",[' Yoel GilonIsrael Kroizer '],Brightsource Ind (Israel) Ltd,https://patents.google.com/patent/US8669675B2/en?q=solar&q=power&country=US&language=ENGLISH&page=3
,,,,,,
Solar power system,US4103493A,"A method and apparatus for use of solar energy. The method and apparatus has the advantage and benefit of providing for use of all collected solar energy, whether or not there is an immediate need in the home for heating. Solar energy is also used for cooling a home or existing building structure via utilization of a heat pump system. The apparatus comprises in combination a direct boil solar collector which boils a refrigerant therein, a Rankine cycle engine for converting heat energy transferred to said refrigerant to kinetic energy, a generator, a heat pump system, and means connected to the Rankine cycle to selectively transfer said kinetic energy from the Rankine engine to the generator or the heat pump. Excess energy not utilized for heating or cooling the home system is returned to a utility power grid for a credit for the home owner and immediate redistribution by the utility to other users.","Classifications
 
 F24D11/0264 Central heating systems using heat accumulated in storage masses using heat pumps using heat-pumps air heating system combined with solar energy
 View 10 more classifications",[' James L'],Schoenfelder,https://patents.google.com/patent/US8327840B2/en?q=solar&q=power&country=US&language=ENGLISH&page=3
,,,,,,
Systems and methods for generating electrical power from solar energy,US6957536B2,"Systems and methods capable of producing electrical power from solar energy through the use of air cycles without fossil fuel combustion. The system includes a solar receiver, a generator, a compressor, and an expander. The expander is coupled to the generator to drive the generator and coupled to the compressor to drive the compressor. The system uses solar generated heat from the solar receiver to heat compressed air from the compressor. The solar generated heat can be directly transferred from the solar receiver to the compressed air as the compressed air flows through receiver tubes of the solar receiver, or the solar receiver can transfer the solar generated heat to a liquid metal, with the liquid metal transferring thermal energy to the compressed air. The expander receives and expands the heated compressed air to drive the generator to produce electricity, and to drive the compressor to compress air.","Classifications
 
 F03G6/064 Devices for producing mechanical power from solar energy with means for concentrating solar rays having a gas turbine cycle, i.e. compressor and gas turbine combination
 View 3 more classifications","[' Robert Z', ' LitwinAdon Delgado, Jr', 'Michael P', ' MoriartyCharles M', ' Jones ']",SOLARRESERVE TECHNOLOGY LLC,https://patents.google.com/patent/US4103493A/en?q=solar&q=power&country=US&language=ENGLISH&page=3
,,,,,,
Solar array inverter with maximum power tracking,US7324361B2,"An inverter for use in connecting a DC power source to the utility grid includes a single DC-AC conversion stage, maximum (source) power tracking, and current control based on feed-forward compensation as a function of input power voltage error, rectified utility line voltage, and a scaled inverse of RMS utility line voltage. Various topologies of the inverter power stage are developed for bi-directional power-flow operation after those developed for unidirectional power-flow operation. Various embodiments also include over-voltage protection, over-current protection, under-voltage protection, over-temperature protection, and stand-by battery with battery management control, while still others are adapted for a multiple-channel front-end distributed power system with distributed maximum power tracking for serving as a single DC power source input to the inverter system downstream with controllers, emergency or auxiliary loads, and alternative current feedback control systems. Improved control architectures are developed with bipolar sensing of the inverter output current and a bipolar sinusoidal reference signal.","Classifications
 
 H02M3/33592 Conversion of dc power input into dc power output with intermediate conversion into ac by static converters using discharge tubes with control electrode or semiconductor devices with control electrode to produce the intermediate ac using devices of a triode or a transistor type requiring continuous application of a control signal using semiconductor devices only having several active switching elements having at least one active switching element at the secondary side of an isolation transformer having a synchronous rectifier circuit or a synchronous freewheeling circuit at the secondary side of an isolation transformer
 View 5 more classifications",[' Kasemsan Siri '],Aerospace Corp,https://patents.google.com/patent/US6957536B2/en?q=solar&q=power&country=US&language=ENGLISH&page=3
,,,,,,
